File,ArraySize,Repetitions,Timsort_Avg,Timsort_StdDev,Timsort_Normalized,Powersort_Avg,Powersort_StdDev,Powersort_Normalized,valid_instance
../TrackA/114,172,1000,3.8683,0.360946,0.00302845,4.15168,2.84461,0.00325031,true
../TrackA/47,10880,1000,115.873,16.0797,0.000794225,88.6575,7.54427,0.000607684,true
../TrackA/113,262,1000,6.5219,0.444936,0.00309865,6.1647,0.085582,0.00292893,true
../TrackA/78,2060,1000,184.453,11.9437,0.00813379,178.057,6.97214,0.00785175,true
../TrackA/147,11505,1000,350.176,42.8446,0.00225626,327.461,28.2408,0.0021099,true
../TrackA/2,4,1000,0.046284,0.0148267,0.0057855,0.045785,0.0131157,0.00572313,true
../TrackA/178,10007,1000,73.3505,3.98468,0.000551589,60.5526,4.86683,0.00045535,true
../TrackA/13,71,1000,2.32752,0.142871,0.00533061,2.49269,1.62115,0.00570891,true
../TrackA/5,52632,1000,5881.6,382.497,0.00712522,6088.99,630.968,0.00737646,true
../TrackA/140,11700,1000,258.088,29.2474,0.00163227,231.905,18.4721,0.00146667,true
../TrackA/14,0,1000,,,,,,,false
../TrackA/182,1170000,1000,38519.4,4277.57,0.00163322,40099,4610.31,0.00170019,true
../TrackA/176,607,1000,4.8925,0.983785,0.000871785,5.37499,1.03261,0.000957758,true
../TrackA/22,1025,1000,81.4085,9.68994,0.00794117,79.8194,9.20321,0.00778616,true
../TrackA/149,11830,1000,109.535,24.9846,0.00068433,113.692,32.2151,0.0007103,true
../TrackA/171,1027000,1000,28714.8,2200.71,0.00140009,25735.4,4413.07,0.00125482,true
../TrackA/185,1098500,1000,35003.2,4055.31,0.0015879,35976.9,3571.82,0.00163207,true
../TrackA/25,71,1000,2.35957,0.511338,0.00540403,2.38028,0.136629,0.00545146,true
